path,name,method,action,res_type,parent_name,default,display_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/dashboard,menu_dashboard,GET,menu,,,,系统主页,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/dashboard/hq,menu_dashboard_hq,GET,menu,,menu_dashboard,,总部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/uaa/api/v2/users/stats,user_stats,GET,api,,menu_dashboard_hq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/coreapi/stats/cameras/count_by_states,stats_camera_count_by_states,GET,api,,menu_dashboard_hq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/coreapi/stats/cameras/count_by_tags,stats_camera_count_by_tags,GET,api,,menu_dashboard_hq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/ka-stats/sites/distribution,stats_site_distribution,GET,api,,menu_dashboard_hq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/ka-stats/sites/ranking,stats_site_ranking,GET,api,,menu_dashboard_hq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/ka-stats/alerts/statistics,stats_alert_statistics,GET,api,,menu_dashboard_hq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/ka-stats/alerts/total,stats_alert_status_total,GET,api,,menu_dashboard_hq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/ka-stats/alerts/hour_trend,stats_alert_hour_trend,GET,api,,menu_dashboard_hq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/ka-stats/alerts/day_trend,stats_alert_day_trend,GET,api,,menu_dashboard_hq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/ka-stats/alerts/month_trend,stats_alert_month_trend,GET,api,,menu_dashboard_hq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/ka-stats/alerts/distribution,stats_alert_distribution,GET,api,,menu_dashboard_hq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/ka-stats/alerts/site_ranking,stats_alert_site_ranking,GET,api,,menu_dashboard_hq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/dashboard/site,menu_dashboard_site,GET,menu,,menu_dashboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/ka-stats/sites/{id}/site_distribution,stats_site_site_distribution,GET,api,,menu_dashboard_site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/ka-stats/sites/{id}/statistics,stats_site_statistics,GET,api,,menu_dashboard_site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/ka-stats/sites/{id}/hour_trend,stats_site_hour_trend,GET,api,,menu_dashboard_site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/ka-stats/sites/{id}/day_trend,stats_site_day_trend,GET,api,,menu_dashboard_site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/ka-stats/sites/{id}/month_trend,stats_site_month_trend,GET,api,,menu_dashboard_site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/coreapi/stats/sites/{id}/cameras/count_by_tags,stats_site_camera_count_by_tags,GET,api,,menu_dashboard_site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/coreapi/stats/sites/{id}/cameras/count_by_states,stats_site_camera_count_by_states,GET,api,,menu_dashboard_site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/coreapi/stats/sites/{id}/boxes/count_by_states,stats_site_box_count_by_state,GET,api,,menu_dashboard_site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,站点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/alerts,menu_alerts,GET,menu,,,,告警管理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/uaa/api/v2/users/perms,action_alert_list,GET,action,,menu_alerts,,查看告警列表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,event_list,GET,api,,action_alert_list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,event_detail,,,,action_alert_list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/ka-stats/alerts/statistics,stats_alert_statistics,GET,api,,action_alert_list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/alerts/export,action_alert_export,GET,action,,menu_alerts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,event_export,GET,api,,action_alert_export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/alerts/false_alert,action_alert_false_alert,GET,action,,menu_alerts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,event_update,PUT,api,,action_alert_false_alert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/alerts/update,action_alert_update,GET,action,,menu_alerts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,event_update,PUT,api,,action_alert_update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/live,menu_live,GET,menu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/live/cameras,action_camera_list,GET,action,,menu_live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,camera_list,GET,api,,action_camera_list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/coreapi/cameras/{id},camera_view,GET,api,,action_camera_list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/coreapi/cameras/{id}/snapshot,camera_snap,GET,api,,action_camera_list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,site_list,GET,api,,action_camera_list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
